ID;Количество комнат;Тип;район;Адрес;Площадь, м2;Этаж;Цена;Ремонт;Ссылка на объявление
300151528;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;34.8;4/12;5220000;;https://www.cian.ru/sale/flat/300151528
297027698;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, улица Помяловского, 30;48.0;5/5;4450000;Косметический;https://www.cian.ru/sale/flat/297027698
300140904;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, улица Сергеева, 5/8;58.7;2/4;5700000;Евроремонт;https://www.cian.ru/sale/flat/300140904
295915593;1;Продажа квартиры;Свердловский;Иркутская область, Иркутск, улица Багратиона, 54/11;43.0;7/9;5990000;Косметический;https://www.cian.ru/sale/flat/295915593
295895678;3;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;66.1;12/12;7204900;;https://www.cian.ru/sale/flat/295895678
288145443;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Эдуарда Дьяконова, 14;47.08;7/9;8356700;;https://www.cian.ru/sale/flat/288145443
294764318;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, проезд Юрия Тена, 14;68.15;2/15;9541000;;https://www.cian.ru/sale/flat/294764318
297142562;1;Продажа квартиры;Свердловский;Иркутская область, Иркутск, улица Клары Цеткин, 13;49.1;1/4;6200000;Евроремонт;https://www.cian.ru/sale/flat/297142562
290601901;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Академгородок мкр, Академик ЖК;38.7;1/10;6430000;;https://www.cian.ru/sale/flat/290601901
296936090;1;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Радужный мкр, 106;39.0;8/16;6400000;Дизайнерский;https://www.cian.ru/sale/flat/296936090
290177501;;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Союз Приорити ЖК;44.21;9/9;8289375;;https://www.cian.ru/sale/flat/290177501
290602241;3;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Старо-Кузьмихинская;57.7;6/12;8990000;;https://www.cian.ru/sale/flat/290602241
290331577;;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, проезд Юрия Тена, 2/4;55.26;8/9;11052000;;https://www.cian.ru/sale/flat/290331577
300318282;4;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Академгородок мкр;78.0;6/10;12320000;;https://www.cian.ru/sale/flat/300318282
288144835;3;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Союз Приорити ЖК;77.53;9/15;14381815;;https://www.cian.ru/sale/flat/288144835
288145127;4;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Союз Приорити ЖК;114.61;9/15;17821855;;https://www.cian.ru/sale/flat/288145127
295895640;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;33.6;2/12;4032000;;https://www.cian.ru/sale/flat/295895640
299228675;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, бульвар Рябикова, 60;43.8;3/5;4100000;Без ремонта;https://www.cian.ru/sale/flat/299228675
289859003;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Затон кв-л, улица Набережная Иркута, 23;32.48;2/19;4579680;;https://www.cian.ru/sale/flat/289859003
295895498;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;42.3;12/12;4906800;;https://www.cian.ru/sale/flat/295895498
295446054;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Первомайский мкр, 23;48.4;1/9;5055000;Косметический;https://www.cian.ru/sale/flat/295446054
300237885;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, улица Лермонтова, 88;44.0;3/5;5150000;;https://www.cian.ru/sale/flat/300237885
299991709;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;45.5;6/12;5278000;;https://www.cian.ru/sale/flat/299991709
295895567;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева, 28;47.9;9/12;5556400;;https://www.cian.ru/sale/flat/295895567
299761480;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Радужный мкр, 33;50.0;5/5;5520000;Косметический;https://www.cian.ru/sale/flat/299761480
300151488;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;52.3;7/12;5648400;;https://www.cian.ru/sale/flat/300151488
299229272;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Юбилейный мкр;47.0;3/5;5650000;Дизайнерский;https://www.cian.ru/sale/flat/299229272
298147084;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Затон кв-л, улица Набережная Иркута, 21;37.59;19/19;5826450;;https://www.cian.ru/sale/flat/298147084
296933123;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Радужный мкр, 107;43.6;7/16;5800000;Евроремонт;https://www.cian.ru/sale/flat/296933123
292997478;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Румянцева, 48;35.5;11/17;5950000;;https://www.cian.ru/sale/flat/292997478
292997460;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Румянцева, 48;35.97;7/17;5950000;;https://www.cian.ru/sale/flat/292997460
298036701;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, улица Лермонтова, 333в;54.7;7/9;5980000;Косметический;https://www.cian.ru/sale/flat/298036701
298162116;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Первомайский мкр, улица Вампилова, 30;55.6;4/16;6000000;Косметический;https://www.cian.ru/sale/flat/298162116
292997521;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Румянцева, 48;37.7;16/17;6123200;;https://www.cian.ru/sale/flat/292997521
297029989;3;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Первомайский мкр, 13А;67.6;8/9;6450000;Косметический;https://www.cian.ru/sale/flat/297029989
295650969;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Касьянова, 1А;31.64;3/19;6500000;;https://www.cian.ru/sale/flat/295650969
278301241;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Юбилейный мкр, 117;45.0;5/9;6600000;Дизайнерский;https://www.cian.ru/sale/flat/278301241
297868166;2;Продажа квартиры;Свердловский;Иркутская область, Иркутск, бульвар Рябикова, 23/1;49.0;4/9;6650000;Без ремонта;https://www.cian.ru/sale/flat/297868166
298956658;1;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Университетский мкр, 1Б;40.4;5/10;6750000;Евроремонт;https://www.cian.ru/sale/flat/298956658
290601896;2;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Академгородок мкр, Академик ЖК;37.3;10/10;7080000;;https://www.cian.ru/sale/flat/290601896
297066992;3;Продажа квартиры;Свердловский;Иркутская область, Иркутск, Университетский мкр, 46;66.7;7/9;7000000;Косметический;https://www.cian.ru/sale/flat/297066992
295431817;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, проезд Юрия Тена, 4;38.13;3/10;7200000;;https://www.cian.ru/sale/flat/295431817
298134992;3;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;66.1;5/12;7204900;;https://www.cian.ru/sale/flat/298134992
295895639;3;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;66.1;2/12;7204900;;https://www.cian.ru/sale/flat/295895639
295895671;3;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, улица Костычева;66.1;11/12;7204900;;https://www.cian.ru/sale/flat/295895671
293746752;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Затон кв-л, улица Набережная Иркута, 23;61.59;2/19;7329210;;https://www.cian.ru/sale/flat/293746752
293746920;1;Продажа квартиры в новостройке;Свердловский;Иркутская область, Иркутск, Затон кв-л, улица Набережная Иркута, 23;59.5;18/19;7318500;;https://www.cian.ru/sale/flat/293746920
